data_hora;semana_do_ano;semana_ano;mes;mes_ano;bimestre;bimestre_ano;trimestre;trimestre_ano;ano;latitude;longitude;geometry;tipo_dado;cluster_label
2025-01-09 02:57:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.930738997333666;-43.92318908668532;POINT (-43.9231766 -19.9307189);teste;-2
2025-01-09 02:57:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.914366560544313;-43.986620793674035;POINT (-43.98662207 -19.91436107);teste;-2
2025-01-09 03:11:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.930703792683484;-43.923171861620546;POINT (-43.9231766 -19.9307189);teste;-2
2025-01-09 03:11:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.860199201757574;-43.95049557300625;POINT (-43.95049427 -19.86020185);teste;-2
2025-01-09 04:39:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.93401458361547;-43.92765101072434;POINT (-43.9276548 -19.9340026);teste;-2
2025-01-09 04:39:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.959789248523254;-43.977666269942475;POINT (-43.97766539 -19.95979942);teste;-2
2025-01-09 09:56:56;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.858706386957365;-43.96728716750944;POINT (-43.9672647 -19.8587187);teste;-2
2025-01-09 21:24:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.86801445953519;-43.932112308914405;POINT (-43.9320992 -19.8680155);teste;-2
2025-01-09 21:24:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.959779072508418;-43.97765564015565;POINT (-43.97766539 -19.95979942);teste;-2
2025-01-09 21:40:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.868007284358754;-43.932101643802504;POINT (-43.9320992 -19.8680155);teste;-2
2025-01-09 21:40:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.911897563474927;-43.93412806309005;POINT (-43.93412996 -19.91190439);teste;-2
2025-01-10 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.91239842378707;-43.92128736656803;POINT (-43.92128733 -19.91239039);teste;-2
2025-01-10 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.850408606015144;-43.940628812982986;POINT (-43.94062056 -19.85041488);teste;-2
2025-01-10 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.987122280530325;-44.00792800602392;POINT (-44.0079233352392 -19.9871244484431);teste;-2
2025-01-10 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.852733021709973;-43.92535054050523;POINT (-43.92535383 -19.85273822);teste;-2
2025-01-10 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.905583553980293;-43.924284757292945;POINT (-43.9242890672543 -19.9055767081241);teste;-2
2025-01-10 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.941429919011156;-43.94394441590529;POINT (-43.9439663 -19.9414312);teste;-2
2025-01-10 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.974001468615;-43.939877077421784;POINT (-43.9398723 -19.9739933);teste;-2
2025-01-10 01:32:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.934024071320998;-43.927638093608415;POINT (-43.9276548 -19.9340026);teste;-2
2025-01-10 01:32:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.891268426954316;-43.93644409414883;POINT (-43.93643549 -19.89127841);teste;-2
2025-01-10 01:48:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.868030523889814;-43.932094313998064;POINT (-43.9320992 -19.8680155);teste;-2
2025-01-10 01:48:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.875770418135353;-43.99995050127381;POINT (-43.99995228 -19.87577149);teste;-2
2025-01-10 02:27:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.87576815997871;-43.99995353865551;POINT (-43.99995228 -19.87577149);teste;-2
2025-01-10 02:27:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.86801223436984;-43.93209925658452;POINT (-43.9320992 -19.8680155);teste;-2
2025-01-10 03:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.974371310790733;-44.02151744614992;POINT (-44.02151122 -19.97436848);teste;-2
2025-01-10 03:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.909582187885245;-43.93596506095445;POINT (-43.9359741 -19.9095849);teste;-2
2025-01-10 03:19:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.9743637703293;-44.02151964615041;POINT (-44.02151122 -19.97436848);teste;-2
2025-01-10 03:19:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.824004050351842;-43.9795777247408;POINT (-43.9795809 -19.8240114);teste;-2
2025-01-10 03:45:28;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.910192965586607;-43.89426634141667;POINT (-43.8942739 -19.9102103);teste;-2
2025-01-10 04:48:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.978146928058486;-44.02469882796907;POINT (-44.02471267 -19.97814927);teste;-2
2025-01-10 04:48:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.895409230290447;-43.95048970037718;POINT (-43.95049941807187 -19.8954098707789);teste;-2
2025-01-10 05:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.908853467289653;-43.95385137570554;POINT (-43.9538571 -19.9088444);teste;-2
